site,ano,termo,resultados
www.publico.pt,2016,fogo florestal,8801
www.cmjornal.pt,2016,fogo florestal,2813
www.sapo.pt,2016,fogo florestal,17
www.expresso.pt,2016,fogo florestal,0
www.publico.pt,2017,fogo florestal,7086
www.cmjornal.pt,2017,fogo florestal,26011
www.sapo.pt,2017,fogo florestal,89
www.expresso.pt,2017,fogo florestal,0
www.publico.pt,2018,fogo florestal,970
www.cmjornal.pt,2018,fogo florestal,12909
www.sapo.pt,2018,fogo florestal,67
www.expresso.pt,2018,fogo florestal,0
www.publico.pt,2019,fogo florestal,1972
www.cmjornal.pt,2019,fogo florestal,8129
www.sapo.pt,2019,fogo florestal,252
www.expresso.pt,2019,fogo florestal,0
www.publico.pt,2020,fogo florestal,2038
www.cmjornal.pt,2020,fogo florestal,227
www.sapo.pt,2020,fogo florestal,4040
www.expresso.pt,2020,fogo florestal,0
www.publico.pt,2021,fogo florestal,0
www.cmjornal.pt,2021,fogo florestal,0
www.sapo.pt,2021,fogo florestal,4
www.expresso.pt,2021,fogo florestal,0
www.publico.pt,2022,fogo florestal,0
www.cmjornal.pt,2022,fogo florestal,0
www.sapo.pt,2022,fogo florestal,0
www.expresso.pt,2022,fogo florestal,0
www.publico.pt,2015,mina,11074
www.cmjornal.pt,2015,mina,0
www.sapo.pt,2015,mina,1296
www.expresso.pt,2015,mina,0
www.publico.pt,2016,mina,11759
www.cmjornal.pt,2016,mina,1042
www.sapo.pt,2016,mina,49
www.expresso.pt,2016,mina,0
www.publico.pt,2017,mina,6604
www.cmjornal.pt,2017,mina,7410
www.sapo.pt,2017,mina,74
www.expresso.pt,2017,mina,0
www.publico.pt,2018,mina,3202
www.cmjornal.pt,2018,mina,21532
www.sapo.pt,2018,mina,387
www.expresso.pt,2018,mina,3
www.publico.pt,2019,mina,2759
www.cmjornal.pt,2019,mina,12601
www.sapo.pt,2019,mina,1503
www.expresso.pt,2019,mina,0
www.publico.pt,2020,mina,4391
www.cmjornal.pt,2020,mina,2136
www.sapo.pt,2020,mina,4659
www.expresso.pt,2020,mina,0
www.publico.pt,2021,mina,0
www.cmjornal.pt,2021,mina,0
www.sapo.pt,2021,mina,17
www.expresso.pt,2021,mina,0
www.publico.pt,2022,mina,0
www.cmjornal.pt,2022,mina,0
www.sapo.pt,2022,mina,0
www.expresso.pt,2022,mina,0
